,Game,Initial,Final,Reward
11664,5018,10000.0,9993.05,-267.95
11665,3567,10000.0,10066.13,-52.87
11666,6409,10000.0,10280.35,220.85
11667,11662,10000.0,9956.11,-304.89
11668,1961,10000.0,10245.48,126.48
11669,13085,10000.0,9890.86,-353.14
11670,7494,10000.0,9927.28,-276.72
11671,12371,10000.0,10036.48,-120.02
11672,2996,10000.0,10040.75,-78.25
11673,6583,10000.0,9834.3,-422.2
11674,11557,10000.0,3482.5,-6812.5
11675,10052,10000.0,9883.55,-416.45
11676,1266,10000.0,10233.31,111.31
11677,5054,10000.0,9927.39,-263.61
11678,3554,10000.0,10077.38,-69.12
11679,8880,10000.0,9967.44,-230.56
11680,3438,10000.0,9980.38,-185.12
11681,3258,10000.0,9839.93,-458.07
11682,3970,10000.0,9914.38,-301.62
11683,2555,10000.0,9985.51,-185.99
11684,1642,10000.0,9542.35,-903.65
11685,9654,10000.0,9940.8,-317.2
11686,9988,10000.0,9898.05,-378.95
11687,10048,10000.0,9980.0,-275.0
11688,13178,10000.0,10026.35,-230.65
11689,7041,10000.0,10031.14,-496.36
11690,2850,10000.0,9926.02,-352.98
11691,12012,10000.0,9818.81,-413.69
11692,3010,10000.0,10095.96,-29.04
11693,10017,10000.0,9873.13,-388.37
11694,6681,10000.0,10047.26,-71.74
11695,1682,10000.0,9999.16,-175.84
11696,11791,10000.0,9999.52,-198.48
11697,748,10000.0,9790.04,-738.46
11698,662,10000.0,10264.96,-28.04
11699,8206,10000.0,10041.86,-77.14
11700,5150,10000.0,10048.1,-76.9
11701,11480,10000.0,9767.07,-527.93
11702,2294,10000.0,9893.95,-446.05
11703,11296,10000.0,9983.53,-271.47
11704,10772,10000.0,10069.88,2.88
11705,8694,10000.0,9563.75,-626.25
11706,11862,10000.0,9800.9,-485.1
11707,6620,10000.0,9973.59,-302.41
11708,1945,10000.0,9707.65,-593.35
11709,10341,10000.0,9960.44,-278.06
11710,1646,10000.0,9980.0,-303.5
11711,1026,10000.0,9957.49,-273.51
11712,2263,10000.0,10162.25,38.25
11713,11562,10000.0,9985.68,-242.32
11714,5211,10000.0,9876.05,-408.45
11715,8072,10000.0,10241.43,106.93
11716,11741,10000.0,9959.53,-205.97
11717,1483,10000.0,9992.58,-178.92
11718,4376,10000.0,9948.65,-342.35
11719,5644,10000.0,10157.02,111.02
11720,5383,10000.0,9956.91,-220.09
11721,12086,10000.0,10043.79,-156.21
11722,7918,10000.0,9942.44,-222.56
11723,5233,10000.0,9806.6,-418.4
11724,11413,10000.0,9992.36,-163.64
11725,6460,10000.0,10105.35,-171.65
11726,5497,10000.0,10213.6,107.6
11727,6614,10000.0,10180.89,11.39
11728,10673,10000.0,10034.68,-177.32
11729,11078,10000.0,10072.85,-85.15
11730,10630,10000.0,9965.38,-237.12
11731,7206,10000.0,9978.77,-217.73
11732,2913,10000.0,9901.42,-661.58
11733,11628,10000.0,9563.75,-626.25
11734,7848,10000.0,9980.0,-257.0
11735,2929,10000.0,10035.65,-110.35
11736,2698,10000.0,10150.8,8.8
11737,7028,10000.0,9697.05,-834.95
11738,12165,10000.0,9968.15,-278.35
